names,rank,magic_sauce,avg_rating
Pandemic Legacy: Season 1,2,1.46,8.66
Mythic Battles: Pantheon,355,1.33,8.86
Kingdom Death: Monster,34,1.31,8.9
Crokinole,75,1.28,7.79
The Castles of Burgundy,12,1.27,8.12
7 Wonders Duel,13,1.21,8.15
BattleCON: Devastation of Indines,201,1.18,8.05
Gloomhaven,1,1.18,8.99
Pandemic Legacy: Season 2,33,1.1,8.47
Twilight Struggle,5,1.1,8.34
Magic: The Gathering,155,1.09,7.45
Through the Ages: A New Story of Civilization,3,1.05,8.61
Tigris & Euphrates,69,1.01,7.72
Dixit,195,1.0,7.32
Puerto Rico,16,0.99,8.06
Summoner Wars: Alliances Master Set,451,0.98,8.25
Jaipur,106,0.98,7.53
Dominion: Intrigue,59,0.95,7.76
El Grande,56,0.94,7.79
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,66,0.94,7.82
YINSH,132,0.93,7.7
Twilight Imperium: Fourth Edition,31,0.92,8.9
Patchwork,57,0.92,7.76
Schotten Totten,368,0.91,7.31
7 Wonders,42,0.91,7.8
Go,123,0.91,7.66
Gaia Project,11,0.91,8.68
Star Realms: Colony Wars,168,0.91,7.95
Telestrations,225,0.91,7.42
Battle Line,180,0.91,7.42
KLASK,468,0.9,7.65
Advanced Squad Leader: Starter Kit #1,410,0.9,7.8
Tichu,122,0.89,7.6
Azul,41,0.89,8.02
Codenames,44,0.88,7.79
The Resistance: Avalon,86,0.88,7.66
Time's Up! Title Recall!,293,0.88,7.76
Too Many Bones,326,0.88,8.54
Ra,135,0.88,7.47
Dominion,72,0.87,7.66
Dixit: Journey,366,0.87,7.46
Galaxy Trucker,128,0.86,7.46
Monikers,466,0.86,7.76
Power Grid,29,0.86,7.91
Dixit: Odyssey,165,0.86,7.5
Heroscape Master Set: Swarm of the Marro,493,0.85,7.63
Hanamikoji,307,0.85,7.54
Up Front,384,0.84,7.83
Antiquity,212,0.84,7.9
Lords of Waterdeep,51,0.84,7.78
War of the Ring (Second Edition),14,0.84,8.38
TZAAR,345,0.84,7.68
Tzolk'in: The Mayan Calendar,38,0.82,7.93
Terraforming Mars,4,0.81,8.38
Paths of Glory,101,0.81,8.0
Pandemic: Iberia,90,0.8,8.05
DVONN,351,0.8,7.44
The Princes of Florence,120,0.8,7.57
Android: Netrunner,39,0.79,7.92
PitchCar,316,0.79,7.25
Lord of the Rings: The Confrontation,258,0.79,7.5
Space Alert,149,0.79,7.49
Napoleon's Triumph,389,0.79,7.99
Dungeon Petz,137,0.79,7.54
Samurai,173,0.78,7.44
Great Western Trail,9,0.78,8.29
Stone Age,79,0.78,7.62
Brass: Lancashire,35,0.77,8.01
Star Wars: X-Wing Miniatures Game – The Force Awakens Core Set,241,0.77,8.07
Orléans,26,0.77,8.08
Codenames Duet,115,0.77,7.88
Modern Art,224,0.77,7.34
Five Tribes,52,0.76,7.8
Goa,107,0.75,7.62
Targi,151,0.75,7.6
Carcassonne,138,0.75,7.43
Concordia,22,0.75,8.07
A Feast for Odin,30,0.75,8.19
Lisboa,124,0.75,8.24
Neuroshima Hex!,208,0.75,7.43
Seasons,161,0.75,7.45
The Resistance,177,0.74,7.37
Time's Up!,388,0.74,7.33
Hansa Teutonica,109,0.74,7.63
Trajan,71,0.74,7.79
Bridge,497,0.73,7.48
Blood Bowl: Living Rulebook,196,0.73,7.87
Sekigahara: The Unification of Japan,143,0.73,8.05
The 7th Continent,10,0.73,8.67
The Duke,396,0.73,7.49
Russian Railroads,70,0.73,7.8
Ticket to Ride: Nordic Countries,111,0.72,7.66
Tyrants of the Underdark,261,0.72,7.9
Scythe,7,0.72,8.29
Power Grid Deluxe: Europe/North America,152,0.71,8.09
Pandemic,73,0.71,7.65
Lost Cities,292,0.7,7.15
Mechs vs. Minions,24,0.7,8.22
Troyes,67,0.69,7.77
Deception: Murder in Hong Kong,169,0.69,7.55
